,ID,Jersey_Number,Player_Name,First_Name,Last_Name,Position,Active_Status,Total_Games_Played,Total_Games_Started,Average_Minutes_Played,Average_Field_Goals_Made,Average_Field_Goals_Attempted,Average_Field_Goal_Percentage,Average_Three_Pointers_Made,Average_Three_Pointers_Attempted,Average_Three_Point_Percentage,Average_Three_Percentage,Average_Two_Pointers_Made,Average_Two_Pointers_Attempted,Average_Two_Point_Percentage,Average_Free_Throws_Made,Average_Free_Throws_Attempted,Average_Free_Throw_Percentage,Average_Points,Average_Offensive_Rebounds,Average_Defensive_Rebounds,Average_Total_Rebounds,Average_Assists,Average_Turnovers,Average_Steals,Average_Blocks,Average_Personal_Fouls,Total_Minutes_Played,Total_Field_Goals_Made,Total_Field_Goals_Attempted,Total_Field_Goal_Percentage,Total_Three_Pointers_Made,Total_Three_Pointers_Attempted,Total_Three_Point_Percentage,Total_Three_Percentage,Total_Two_Pointers_Made,Total_Two_Pointers_Attempted,Total_Two_Point_Percentage,Total_Free_Throws_Made,Total_Free_Throws_Attempted,Total_Free_Throw_Percentage,Total_Points,Total_Offensive_Rebounds,Total_Defensive_Rebounds,Total_Total_Rebounds,Total_Assists,Total_Turnovers,Total_Steals,Total_Blocks,Total_Personal_Fouls
13,95948d1a-e922-4768-8de3-579884ada2f0,8,Deni Avdija,Deni,Avdija,F,1,12,10,25.444444444444446,3.0,8.5,0.3529411764705882,0.75,3.4166666666666665,0.2195121951219512,0.4019607843137255,2.25,5.083333333333333,0.4426229508196721,2.9166666666666665,3.6666666666666665,0.7954545454545454,9.666666666666666,1.25,4.25,5.5,3.1666666666666665,1.9166666666666667,1.0,0.8333333333333334,1.75,305.3333333333333,36,102,0.3529411764705882,9,41,0.2195121951219512,0.4019607843137255,27,61,0.4426229508196721,35,44,0.7954545454545454,116,15,51,66,38,23,12,10,21
14,8c7cabeb-fa56-45fe-8518-ba92a5fb5c06,2,Deandre Ayton,Deandre,Ayton,C,1,11,11,29.27272727272727,6.181818181818182,11.909090909090908,0.5190839694656488,0.4545454545454545,1.181818181818182,0.3846153846153846,0.099236641221374,5.7272727272727275,10.727272727272728,0.5338983050847458,0.4545454545454545,0.7272727272727273,0.625,13.272727272727272,3.0,7.545454545454546,10.545454545454543,1.0,1.4545454545454546,0.9090909090909092,0.4545454545454545,2.0,322.0,68,131,0.5190839694656488,5,13,0.3846153846153846,0.099236641221374,63,118,0.5338983050847458,5,8,0.625,146,33,83,116,11,16,10,5,22
15,85c55b9c-1455-4df5-9595-5023f633f7d5,35,Marvin Bagley III,Marvin,Bagley III,F,1,7,0,6.147619047619047,1.2857142857142858,2.5714285714285716,0.5,0.0,0.4285714285714285,0.0,0.1666666666666666,1.2857142857142858,2.142857142857143,0.6,0.7142857142857143,1.0,0.7142857142857143,3.2857142857142856,1.0,1.5714285714285714,2.5714285714285716,0.2857142857142857,0.7142857142857143,0.0,0.1428571428571428,0.1428571428571428,43.03333333333333,9,18,0.5,0,3,0.0,0.1666666666666666,9,15,0.6,5,7,0.7142857142857143,23,7,11,18,2,5,0,1,1
16,84021442-612a-4093-afd8-7761d3d9ee07,7,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,F,1,7,0,5.295238095238095,1.0,2.4285714285714284,0.4117647058823529,0.4285714285714285,1.2857142857142858,0.3333333333333333,0.5294117647058824,0.5714285714285714,1.1428571428571428,0.5,0.1428571428571428,0.2857142857142857,0.5,2.5714285714285716,0.2857142857142857,0.7142857142857143,1.0,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.4285714285714285,37.06666666666667,7,17,0.4117647058823529,3,9,0.3333333333333333,0.5294117647058824,4,8,0.5,1,2,0.5,18,2,5,7,1,1,2,1,3
17,ed35ad34-42be-440c-b545-13c55eec61d5,1,LaMelo Ball,LaMelo,Ball,G,1,11,11,33.57121212121212,10.454545454545457,23.363636363636363,0.4474708171206226,4.909090909090909,13.090909090909092,0.375,0.5603112840466926,5.545454545454546,10.272727272727272,0.5398230088495575,4.090909090909091,4.818181818181818,0.8490566037735849,29.90909090909091,1.0,4.0,5.0,6.2727272727272725,4.545454545454546,1.3636363636363635,0.2727272727272727,4.0,369.28333333333336,115,257,0.4474708171206226,54,144,0.375,0.5603112840466926,61,113,0.5398230088495575,45,53,0.8490566037735849,329,11,44,55,69,50,15,3,44
18,3fe2724a-7883-4147-8b41-e88130952913,2,Lonzo Ball,Lonzo,Ball,G,1,3,0,15.733333333333333,1.6666666666666667,4.666666666666667,0.3571428571428571,1.3333333333333333,4.0,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,0.0,4.666666666666667,0.0,2.6666666666666665,2.6666666666666665,3.6666666666666665,1.0,0.0,0.3333333333333333,1.3333333333333333,47.2,5,14,0.3571428571428571,4,12,0.3333333333333333,0.8571428571428571,1,2,0.5,0,0,0.0,14,0,8,8,11,3,0,1,4
19,ea2be385-777e-4869-82e7-221c62b1b028,5,Paolo Banchero,Paolo,Banchero,F,1,5,5,36.440000000000005,9.6,19.4,0.4948453608247423,2.2,6.4,0.34375,0.3298969072164948,7.4,13.0,0.5692307692307692,7.6,11.8,0.6440677966101694,29.0,2.4,6.4,8.8,5.6,2.2,0.6,0.8,2.6,182.2,48,97,0.4948453608247423,11,32,0.34375,0.3298969072164948,37,65,0.5692307692307692,38,59,0.6440677966101694,145,12,32,44,28,11,3,4,13
20,3e9977da-2976-4228-9365-3de68741e2db,22,Desmond Bane,Desmond,Bane,G,1,5,5,26.493333333333332,7.0,14.4,0.4861111111111111,2.6,6.4,0.40625,0.4444444444444444,4.4,8.0,0.55,2.2,2.4,0.9166666666666666,18.8,1.0,4.4,5.4,2.8,1.8,1.0,0.6,3.0,132.46666666666667,35,72,0.4861111111111111,13,32,0.40625,0.4444444444444444,22,40,0.55,11,12,0.9166666666666666,94,5,22,27,14,9,5,3,15
21,a2a94a37-0286-423a-a4aa-bb1f406a9ecb,5,Dalano Banton,Dalano,Banton,F,1,10,0,11.821666666666664,3.1,6.6,0.4696969696969697,0.9,2.3,0.391304347826087,0.3484848484848485,2.2,4.3,0.5116279069767442,1.8,2.7,0.6666666666666666,8.9,0.3,1.3,1.6,2.0,1.1,1.0,0.5,0.9,118.21666666666668,31,66,0.4696969696969697,9,23,0.391304347826087,0.3484848484848485,22,43,0.5116279069767442,18,27,0.6666666666666666,89,3,13,16,20,11,10,5,9
22,e285fcf1-e55a-4c09-a067-bfe009d9eedc,0,Dominick Barlow,Dominick,Barlow,F,1,2,0,5.366666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10.733333333333333,0,1,0.0,0,0,0.0,0.0,0,1,0.0,1,2,0.5,1,0,0,0,0,0,0,0,1
